temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,UV,fechaHora
18.0,65,11.3,0.9,315.0,2.7,337.5,774.8,0.0,1.0,06/04/23 08:30
19.6,62,12.1,0.9,315.0,4.0,67.5,774.8,0.0,1.6,06/04/23 09:00
20.2,59,11.9,1.3,112.5,3.6,90.0,774.7,0.0,2.3,06/04/23 09:30
20.8,57,11.9,0.9,112.5,4.0,112.5,774.5,0.0,3.0,06/04/23 10:00
22.0,53,12.0,1.3,157.5,4.9,135.0,774.2,0.0,3.8,06/04/23 10:30
23.6,46,11.3,1.3,112.5,4.9,112.5,774.0,0.0,4.6,06/04/23 11:00
24.3,42,10.6,1.8,90.0,5.4,337.5,773.7,0.0,5.1,06/04/23 11:30
25.0,38,9.7,2.2,67.5,6.3,90.0,773.3,0.0,5.5,06/04/23 12:00
25.6,36,9.4,2.7,90.0,6.7,67.5,772.7,0.0,5.6,06/04/23 12:30
26.6,32,8.5,3.1,112.5,7.2,67.5,772.2,0.0,5.9,06/04/23 13:00
26.7,30,7.7,3.6,135.0,8.5,135.0,771.6,0.0,5.6,06/04/23 13:30
27.2,22,3.6,4.5,112.5,11.6,112.5,771.0,0.0,5.2,06/04/23 14:00
27.6,17,0.3,6.3,135.0,11.6,135.0,770.6,0.0,4.8,06/04/23 14:30
27.3,21,3.0,6.7,135.0,13.0,112.5,770.5,0.0,4.3,06/04/23 15:00
27.2,19,1.5,6.3,157.5,11.6,135.0,770.2,0.0,2.9,06/04/23 15:30
26.9,19,1.3,6.3,157.5,10.7,135.0,769.8,0.0,2.4,06/04/23 16:00
