temperatura,humedadRelativa,puntoRocio,velocidadViento,direccionViento,velocidadRacha,direccionRacha,presionBar,lluvia,UV,fechaHora
18.4,68,12.4,1.3,292.5,2.7,292.5,782.3,0.0,0.0,2/04/23 00:30
18.1,68,12.1,0.9,270.0,2.7,292.5,781.9,0.0,0.0,2/04/23 01:00
17.7,68,11.7,0.4,157.5,2.7,180.0,781.6,0.0,0.0,2/04/23 01:30
17.3,9999,9999.0,0.9,157.5,2.2,157.5,781.2,0.0,0.0,2/04/23 02:00
9999.0,9999,9999.0,0.0,9999.0,0.0,9999.0,781.1,0.0,9999.0,2/04/23 02:30
9999.0,9999,9999.0,0.0,9999.0,0.0,9999.0,780.9,0.0,9999.0,2/04/23 03:00
9999.0,9999,9999.0,0.0,9999.0,0.0,9999.0,780.8,0.0,9999.0,2/04/23 03:30
9999.0,9999,9999.0,0.0,9999.0,0.0,9999.0,780.8,0.0,9999.0,2/04/23 04:00
9999.0,9999,9999.0,0.0,9999.0,0.0,9999.0,780.8,0.0,9999.0,2/04/23 04:30
9999.0,9999,9999.0,0.0,9999.0,0.0,9999.0,780.9,0.0,9999.0,2/04/23 05:00
9999.0,9999,9999.0,0.0,9999.0,0.0,9999.0,781.0,0.0,9999.0,2/04/23 05:30
9999.0,9999,9999.0,0.0,9999.0,0.0,9999.0,781.2,0.0,9999.0,2/04/23 06:00
9999.0,9999,9999.0,0.0,9999.0,0.0,9999.0,781.3,0.0,9999.0,2/04/23 06:30
9999.0,9999,9999.0,0.0,9999.0,0.0,9999.0,781.5,0.0,9999.0,2/04/23 07:00
9999.0,9999,9999.0,0.0,9999.0,0.0,9999.0,781.8,0.0,9999.0,2/04/23 07:30
9999.0,9999,9999.0,0.0,9999.0,0.0,9999.0,782.0,0.0,9999.0,2/04/23 08:00
9999.0,9999,9999.0,0.0,9999.0,0.0,9999.0,782.0,0.0,9999.0,2/04/23 08:30
9999.0,9999,9999.0,0.0,9999.0,0.0,9999.0,782.2,0.0,9999.0,2/04/23 09:00
20.1,56,11.1,0.9,90.0,3.1,90.0,782.3,0.0,3.3,2/04/23 09:30
21.2,47,9.4,0.9,67.5,2.2,337.5,782.1,0.0,4.7,2/04/23 10:00
22.4,43,9.2,0.9,67.5,2.7,45.0,781.9,0.0,6.1,2/04/23 10:30
23.9,37,8.4,0.9,45.0,3.1,337.5,781.6,0.0,7.4,2/04/23 11:00
25.5,27,5.1,0.9,360.0,3.6,360.0,781.2,0.0,8.6,2/04/23 11:30
26.7,28,6.6,1.3,360.0,3.6,90.0,780.8,0.0,9.5,2/04/23 12:00
27.1,26,5.9,2.2,360.0,5.8,360.0,780.3,0.0,10.0,2/04/23 12:30
27.4,25,5.7,1.8,90.0,4.9,67.5,779.6,0.0,9.9,2/04/23 13:00
28.0,24,5.5,2.2,45.0,5.8,90.0,779.1,0.0,9.3,2/04/23 13:30
28.6,23,5.4,1.8,360.0,4.9,315.0,778.5,0.0,8.7,2/04/23 14:00
29.2,21,4.6,2.2,360.0,6.3,90.0,778.1,0.0,7.5,2/04/23 14:30
29.6,21,4.9,1.3,45.0,4.9,67.5,777.6,0.0,6.1,2/04/23 15:00
30.0,19,3.9,1.3,90.0,4.0,67.5,777.1,0.0,4.6,2/04/23 15:30
30.4,19,4.2,2.2,90.0,4.9,90.0,776.8,0.0,3.2,2/04/23 16:00
30.1,19,3.9,1.3,67.5,4.5,67.5,776.5,0.0,2.0,2/04/23 16:30
30.6,17,2.7,1.8,67.5,4.9,67.5,776.4,0.0,1.3,2/04/23 17:00
31.0,18,3.9,1.3,292.5,3.1,337.5,776.2,0.0,0.7,2/04/23 17:30
30.1,20,4.6,1.3,270.0,4.9,247.5,776.3,0.0,0.1,2/04/23 18:00
27.6,27,6.9,4.9,202.5,10.7,180.0,776.7,0.0,0.0,2/04/23 18:30
25.6,27,5.2,6.7,202.5,12.1,180.0,777.1,0.0,0.0,2/04/23 19:00
24.8,27,4.5,5.8,180.0,11.2,202.5,777.7,0.0,0.0,2/04/23 19:30
24.4,27,4.2,1.8,202.5,3.6,180.0,778.2,0.0,0.0,2/04/23 20:00
24.1,28,4.4,1.8,202.5,4.0,180.0,778.6,0.0,0.0,2/04/23 20:30
23.4,30,4.8,3.1,202.5,6.3,180.0,778.9,0.0,0.0,2/04/23 21:00
23.2,43,9.9,3.6,360.0,8.5,337.5,780.1,0.0,0.0,2/04/23 21:30
22.3,44,9.4,2.7,337.5,7.6,22.5,780.7,0.0,0.0,2/04/23 22:00
21.7,49,10.5,0.9,292.5,3.6,270.0,780.8,0.0,0.0,2/04/23 22:30
21.0,49,9.9,0.9,45.0,3.6,67.5,780.8,0.0,0.0,2/04/23 23:00
20.3,51,9.9,0.9,67.5,3.1,67.5,780.7,0.0,0.0,2/04/23 23:30
19.7,53,9.8,0.4,157.5,1.8,157.5,780.6,0.0,0.0,3/04/23 00:00
19.0,53,9.2,1.3,157.5,2.7,157.5,780.2,0.0,0.0,3/04/23 00:30
18.3,54,8.9,0.4,157.5,1.8,157.5,779.8,0.0,0.0,3/04/23 01:00
18.0,55,8.8,0.0,157.5,1.8,157.5,779.2,0.0,0.0,3/04/23 01:30
18.0,54,8.5,0.4,67.5,2.2,90.0,778.9,0.0,0.0,3/04/23 02:00
17.9,52,7.9,0.9,135.0,2.7,135.0,778.7,0.0,0.0,3/04/23 02:30
17.7,51,7.4,1.3,112.5,4.0,112.5,778.5,0.0,0.0,3/04/23 03:00
17.3,53,7.7,0.4,112.5,1.3,112.5,778.4,0.0,0.0,3/04/23 03:30
